違規年月份,年齡,違規人性別,違規態樣
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,80,M,闖紅燈累犯
111-03,80,M,闖紅燈累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,75,M,闖紅燈累犯
111-03,75,M,闖紅燈累犯
111-03,68,M,闖紅燈累犯
111-03,68,M,闖紅燈累犯
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,74,M,無照駕駛累犯
111-03,74,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,71,M,闖紅燈累犯
111-03,71,M,闖紅燈累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,72,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,72,M,闖紅燈累犯
111-03,72,M,闖紅燈累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,闖紅燈累犯
111-03,69,M,闖紅燈累犯
111-03,69,M,闖紅燈累犯
111-03,69,M,闖紅燈累犯
111-03,69,M,闖紅燈累犯
111-03,69,M,酒駕累犯
111-03,69,M,酒駕累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,83,M,無照駕駛累犯
111-03,83,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,69,M,闖紅燈累犯
111-03,69,M,闖紅燈累犯
111-03,79,M,無照駕駛累犯
111-03,79,M,無照駕駛累犯
111-03,79,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,71,M,闖紅燈累犯
111-03,71,M,闖紅燈累犯
111-03,71,M,闖紅燈累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,闖紅燈累犯
111-03,68,M,闖紅燈累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,73,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,80,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,闖紅燈累犯
111-03,67,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,76,M,無照駕駛累犯
111-03,76,M,無照駕駛累犯
111-03,76,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,75,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,76,M,無照駕駛累犯
111-03,76,M,無照駕駛累犯
111-03,76,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,66,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,71,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,無照駕駛累犯
111-03,66,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,65,M,闖紅燈累犯
111-03,65,M,闖紅燈累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,67,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,70,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,65,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,66,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,66,M,闖紅燈累犯
111-03,65,M,闖紅燈累犯
111-03,65,M,闖紅燈累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,69,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,68,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,78,M,無照駕駛累犯
111-03,51,M,無照駕駛累犯
111-03,51,M,無照駕駛累犯
111-03,51,M,無照駕駛累犯
111-03,51,M,闖紅燈累犯
111-03,51,M,闖紅燈累犯
111-03,51,M,闖紅燈累犯
111-03,58,M,酒駕累犯
111-03,58,M,酒駕累犯
111-03,56,M,無照駕駛累犯
111-03,56,M,無照駕駛累犯
111-03,56,M,無照駕駛累犯
111-03,49,M,無照駕駛累犯
111-03,49,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,61,M,無照駕駛累犯
111-03,61,M,無照駕駛累犯
111-03,56,M,闖紅燈累犯
111-03,56,M,闖紅燈累犯
111-03,56,M,闖紅燈累犯
111-03,50,M,無照駕駛累犯
111-03,50,M,無照駕駛累犯
111-03,50,M,無照駕駛累犯
111-03,50,M,無照駕駛累犯
111-03,50,M,無照駕駛累犯
111-03,50,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,52,M,闖紅燈累犯
111-03,52,M,闖紅燈累犯
111-03,64,M,無照駕駛累犯
111-03,64,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,53,M,無照駕駛累犯
111-03,52,M,無照駕駛累犯
111-03,52,M,無照駕駛累犯
111-03,52,M,無照駕駛累犯
111-03,61,M,無照駕駛累犯
111-03,61,M,無照駕駛累犯
111-03,58,M,闖紅燈累犯
111-03,58,M,闖紅燈累犯
111-03,49,M,無照駕駛累犯
111-03,49,M,無照駕駛累犯
111-03,63,M,無照駕駛累犯
111-03,63,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,無照駕駛累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,55,M,闖紅燈累犯
111-03,49,M,無照駕駛累犯
111-03,49,M,無照駕駛累犯
111-03,58,M,無照駕駛累犯
111-03,58,M,無照駕駛累犯
111-03,58,M,無照駕駛累犯
111-03,58,M,無照駕駛累犯
111-03,58,M,無照駕駛累犯
111-03,58,M,無照駕駛累犯
111-03,58,M,闖紅燈累犯
